"","sample_name","sample_title","bioproject_accession","organism","collection_date","depth","elev","env_broad_scale","env_local_scale","env_medium","geo_loc_name","lat_long","agrochem_addition","Replicate"
"419","ILK-C-MIN-2A_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-C-MIN-2A_S29","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","","replicate  2A: amplicon 18S, ITS, BR5, F230"
"421","ILK-C-MIN-2B_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-ILK-C-MIN-2B_S30","","soil metagenome",2017,"0-10 cm",439,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","47.7 N 83.6 W","","replicate  2B: amplicon 18S, ITS, BR5, F230"
"423","SRD-A1-LFH-1_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A1-LFH-1_S49","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","1 t/ha Fly wood ash","replicate  1: amplicon 18S, ITS, BR5, F230"
"425","SRD-A1-LFH-2_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A1-LFH-2_S55","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","1 t/ha Fly wood ash","replicate  2: amplicon 18S, ITS, BR5, F230"
"427","SRD-A1-LFH-3_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A1-LFH-3_S43","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","1 t/ha Fly wood ash","replicate  3: amplicon 18S, ITS, BR5, F230"
"429","SRD-A1-MIN-1_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A1-MIN-1_S50","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","1 t/ha Fly wood ash","replicate  1: amplicon 18S, ITS, BR5, F230"
"431","SRD-A1-MIN-2_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A1-MIN-2_S56","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","1 t/ha Fly wood ash","replicate  2: amplicon 18S, ITS, BR5, F230"
"433","SRD-A1-MIN-3_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A1-MIN-3_S44","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","1 t/ha Fly wood ash","replicate  3: amplicon 18S, ITS, BR5, F230"
"435","SRD-A2-LFH-1_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A2-LFH-1_S51","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  1: amplicon 18S, ITS, BR5, F230"
"437","SRD-A2-LFH-2_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A2-LFH-2_S57","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  2: amplicon 18S, ITS, BR5, F230"
"439","SRD-A2-LFH-3_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A2-LFH-3_S45","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  3: amplicon 18S, ITS, BR5, F230"
"441","SRD-A2-MIN-1_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A2-MIN-1_S52","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  1: amplicon 18S, ITS, BR5, F230"
"443","SRD-A2-MIN-2_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A2-MIN-2_S58","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  2: amplicon 18S, ITS, BR5, F230"
"445","SRD-A2-MIN-3_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-A2-MIN-3_S46","","soil metagenome",2017,"0-10 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","mineral horizon[ENVO:03600011]","Canada: Ontario","48.367 N 89.397 W","10 t/ha Fly wood ash","replicate  3: amplicon 18S, ITS, BR5, F230"
"447","SRD-C-LFH-1_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-C-LFH-1_S47","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","","replicate  1: amplicon 18S, ITS, BR5, F230"
"449","SRD-C-LFH-2_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-C-LFH-2_S53","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","","replicate  2: amplicon 18S, ITS, BR5, F230"
"451","SRD-C-LFH-3_18S-ITS-BR5-F230-multiplex","Pinkney-Ashnet-SRD-C-LFH-3_S41","","soil metagenome",2017,"0 cm",214,"soil[ENVO:00001998]","forest soil[ENVO:00002261]","organic horizon[ENVO:03600018]","Canada: Ontario","48.367 N 89.397 W","","replicate  3: amplicon 18S, ITS, BR5, F230"
