"","sample_name","library_id"
"409","ILK-C-LM-1","Pinkney-Ashnet-ILK-C-LM-1B_S2"
"411","ILK-C-LM-2","Pinkney-Ashnet-ILK-C-LM-2A_S25"
"413","ILK-C-LM-2","Pinkney-Ashnet-ILK-C-LM-2B_S26"
"415","ILK-C-MIN-1","Pinkney-Ashnet-ILK-C-MIN-1A_S5"
"417","ILK-C-MIN-1","Pinkney-Ashnet-ILK-C-MIN-1B_S6"
"419","ILK-C-MIN-2","Pinkney-Ashnet-ILK-C-MIN-2A_S29"
"421","ILK-C-MIN-2","Pinkney-Ashnet-ILK-C-MIN-2B_S30"
"423","SRD-A1-LFH-1","Pinkney-Ashnet-SRD-A1-LFH-1_S49"
"425","SRD-A1-LFH-2","Pinkney-Ashnet-SRD-A1-LFH-2_S55"
"427","SRD-A1-LFH-3","Pinkney-Ashnet-SRD-A1-LFH-3_S43"
"429","SRD-A1-MIN-1","Pinkney-Ashnet-SRD-A1-MIN-1_S50"
"431","SRD-A1-MIN-2","Pinkney-Ashnet-SRD-A1-MIN-2_S56"
"433","SRD-A1-MIN-3","Pinkney-Ashnet-SRD-A1-MIN-3_S44"
"435","SRD-A2-LFH-1","Pinkney-Ashnet-SRD-A2-LFH-1_S51"
"437","SRD-A2-LFH-2","Pinkney-Ashnet-SRD-A2-LFH-2_S57"
"439","SRD-A2-LFH-3","Pinkney-Ashnet-SRD-A2-LFH-3_S45"
"441","SRD-A2-MIN-1","Pinkney-Ashnet-SRD-A2-MIN-1_S52"
"443","SRD-A2-MIN-2","Pinkney-Ashnet-SRD-A2-MIN-2_S58"
"445","SRD-A2-MIN-3","Pinkney-Ashnet-SRD-A2-MIN-3_S46"
"447","SRD-C-LFH-1","Pinkney-Ashnet-SRD-C-LFH-1_S47"
"449","SRD-C-LFH-2","Pinkney-Ashnet-SRD-C-LFH-2_S53"
"451","SRD-C-LFH-3","Pinkney-Ashnet-SRD-C-LFH-3_S41"
"453","SRD-C-MIN-1","Pinkney-Ashnet-SRD-C-MIN-1_S48"
"455","SRD-C-MIN-2","Pinkney-Ashnet-SRD-C-MIN-2_S54"
"457","SRD-C-MIN-3","Pinkney-Ashnet-SRD-C-MIN-3_S42"
"459","ILK-A1-FH-3","Pinkney-Ashnet-ILK-A1-FH-3A_S17"
"461","ILK-A1-FH-3","Pinkney-Ashnet-ILK-A1-FH-3B_S18"
"463","ILK-A1-LM-3","Pinkney-Ashnet-ILK-A1-LM-3A_S15"
"465","ILK-A1-LM-3","Pinkney-Ashnet-ILK-A1-LM-3B_S16"
"467","ILK-A1-LM-4","Pinkney-Ashnet-ILK-A1-LM-4A_S39"
"469","ILK-A1-LM-4","Pinkney-Ashnet-ILK-A1-LM-4B_S40"
"471","ILK-A1-MIN-3","Pinkney-Ashnet-ILK-A1-MIN-3A_S19"
"473","ILK-A1-MIN-3","Pinkney-Ashnet-ILK-A1-MIN-3B_S20"
"475","ILK-A2-MIN-2","Pinkney-Ashnet-ILK-A2-MIN-2A_S1"
"477","ILK-A2-MIN-2","Pinkney-Ashnet-ILK-A2-MIN-2B_S2"
"479","ILK-A3-FH-3","Pinkney-Ashnet-ILK-A3-FH-3A_S23"
"481","ILK-A3-FH-3","Pinkney-Ashnet-ILK-A3-FH-3B_S24"
"483","ILK-A3-LM-3","Pinkney-Ashnet-ILK-A3-LM-3A_S21"
"485","ILK-A3-LM-3","Pinkney-Ashnet-ILK-A3-LM-3B_S22"
"487","ILK-A3-MIN-3","Pinkney-Ashnet-ILK-A3-MIN-3A_S25"
"489","ILK-A3-MIN-3","Pinkney-Ashnet-ILK-A3-MIN-3B_S26"
"491","ILK-A4-FH-2","Pinkney-Ashnet-ILK-A4-FH-2A_S5"
"493","ILK-A4-FH-2","Pinkney-Ashnet-ILK-A4-FH-2B_S6"
"495","ILK-A4-FH-3","Pinkney-Ashnet-ILK-A4-FH-3A_S29"
"497","ILK-A4-FH-3","Pinkney-Ashnet-ILK-A4-FH-3B_S30"
"499","ILK-A4-LM-2","Pinkney-Ashnet-ILK-A4-LM-2A_S3"
"501","ILK-A4-LM-2","Pinkney-Ashnet-ILK-A4-LM-2B_S4"
"503","ILK-A4-LM-3","Pinkney-Ashnet-ILK-A4-LM-3A_S27"
"505","ILK-A4-LM-3","Pinkney-Ashnet-ILK-A4-LM-3B_S28"
"507","ILK-A4-MIN-2","Pinkney-Ashnet-ILK-A4-MIN-2A_S7"
"509","ILK-A4-MIN-2","Pinkney-Ashnet-ILK-A4-MIN-2B_S8"
"511","ILK-A4-MIN-3","Pinkney-Ashnet-ILK-A4-MIN-3A_S31"
"513","ILK-A4-MIN-3","Pinkney-Ashnet-ILK-A4-MIN-3B_S32"
"515","ILK-C-FH-3","Pinkney-Ashnet-ILK-C-FH-3A_S11"
"517","ILK-C-FH-3","Pinkney-Ashnet-ILK-C-FH-3B_S12"
"519","ILK-C-FH-4","Pinkney-Ashnet-ILK-C-FH-4A_S35"
"521","ILK-C-FH-4","Pinkney-Ashnet-ILK-C-FH-4B_S36"
"523","ILK-C-LM-3","Pinkney-Ashnet-ILK-C-LM-3A_S9"
"525","ILK-C-LM-3","Pinkney-Ashnet-ILK-C-LM-3B_S10"
"527","ILK-C-LM-4","Pinkney-Ashnet-ILK-C-LM-4A_S33"
"529","ILK-C-LM-4","Pinkney-Ashnet-ILK-C-LM-4B_S34"
"531","ILK-C-MIN-3","Pinkney-Ashnet-ILK-C-MIN-3A_S13"
"533","ILK-C-MIN-3","Pinkney-Ashnet-ILK-C-MIN-3B_S14"
"535","ILK-C-MIN-4","Pinkney-Ashnet-ILK-C-MIN-4A_S37"
"537","ILK-C-MIN-4","Pinkney-Ashnet-ILK-C-MIN-4B_S38"
"539","PLD-A-LFH-1","Pinkney-Ashnet-PLD-A-LFH-1_S55"
"541","PLD-A-MIN-1","Pinkney-Ashnet-PLD-A-MIN-1_S56"
"543","PLD-C-LFH-1","Pinkney-Ashnet-PLD-C-LFH-1_S53"
"545","PLD-C-LFH-2","Pinkney-Ashnet-PLD-C-LFH-2_S57"
"547","PLD-C-MIN-1","Pinkney-Ashnet-PLD-C-MIN-1_S54"
"549","PLD-C-MIN-2","Pinkney-Ashnet-PLD-C-MIN-2_S58"
"551","SRD-A1-LFH-4","Pinkney-Ashnet-SRD-A1-LFH-4_S43"
"553","SRD-A1-LFH-5","Pinkney-Ashnet-SRD-A1-LFH-5_S49"
"555","SRD-A1-MIN-4","Pinkney-Ashnet-SRD-A1-MIN-4_S44"
"557","SRD-A1-MIN-5","Pinkney-Ashnet-SRD-A1-MIN-5_S50"
"559","SRD-A2-LFH-4","Pinkney-Ashnet-SRD-A2-LFH-4_S45"
"561","SRD-A2-LFH-5","Pinkney-Ashnet-SRD-A2-LFH-5_S51"
"563","SRD-A2-MIN-4","Pinkney-Ashnet-SRD-A2-MIN-4_S46"
"565","SRD-A2-MIN-5","Pinkney-Ashnet-SRD-A2-MIN-5_S52"
"567","SRD-C-LFH-4","Pinkney-Ashnet-SRD-C-LFH-4_S41"
"569","SRD-C-LFH-5","Pinkney-Ashnet-SRD-C-LFH-5_S47"
"571","SRD-C-MIN-4","Pinkney-Ashnet-SRD-C-MIN-4_S42"
"573","SRD-C-MIN-5","Pinkney-Ashnet-SRD-C-MIN-5_S48"
"575","ILK-A1-FH-4","Pinkney-Ashnet-ILK-A1-FH-4A_S1"
"577","ILK-A1-FH-4","Pinkney-Ashnet-ILK-A1-FH-4B_S2"
"579","ILK-A1-MIN-4","Pinkney-Ashnet-ILK-A1-MIN-4A_S3"
"581","ILK-A1-MIN-4","Pinkney-Ashnet-ILK-A1-MIN-4B_S4"
"583","ILK-A2-FH-4","Pinkney-Ashnet-ILK-A2-FH-4A_S7"
"585","ILK-A2-FH-4","Pinkney-Ashnet-ILK-A2-FH-4B_S8"
"587","ILK-A2-FH-5","Pinkney-Ashnet-ILK-A2-FH-5A_S31"
"589","ILK-A2-FH-5","Pinkney-Ashnet-ILK-A2-FH-5B_S32"
"591","ILK-A2-LM-4","Pinkney-Ashnet-ILK-A2-LM-4A_S5"
"593","ILK-A2-LM-4","Pinkney-Ashnet-ILK-A2-LM-4B_S6"
"595","ILK-A2-LM-5","Pinkney-Ashnet-ILK-A2-LM-5A_S29"
"597","ILK-A2-LM-5","Pinkney-Ashnet-ILK-A2-LM-5B_S30"
"599","ILK-A2-MIN-4","Pinkney-Ashnet-ILK-A2-MIN-4A_S9"
"601","ILK-A2-MIN-4","Pinkney-Ashnet-ILK-A2-MIN-4B_S10"
"603","ILK-A2-MIN-5","Pinkney-Ashnet-ILK-A2-MIN-5A_S33"
"605","ILK-A2-MIN-5","Pinkney-Ashnet-ILK-A2-MIN-5B_S34"
"607","ILK-A3-FH-4","Pinkney-Ashnet-ILK-A3-FH-4A_S13"
"609","ILK-A3-FH-4","Pinkney-Ashnet-ILK-A3-FH-4B_S14"
"611","ILK-A3-FH-5","Pinkney-Ashnet-ILK-A3-FH-5A_S37"
"613","ILK-A3-FH-5","Pinkney-Ashnet-ILK-A3-FH-5B_S38"
"615","ILK-A3-LM-4","Pinkney-Ashnet-ILK-A3-LM-4A_S11"
"617","ILK-A3-LM-4","Pinkney-Ashnet-ILK-A3-LM-4B_S12"
"619","ILK-A3-LM-5","Pinkney-Ashnet-ILK-A3-LM-5A_S35"
"621","ILK-A3-LM-5","Pinkney-Ashnet-ILK-A3-LM-5B_S36"
"623","ILK-A3-MIN-4","Pinkney-Ashnet-ILK-A3-MIN-4A_S15"
"625","ILK-A3-MIN-4","Pinkney-Ashnet-ILK-A3-MIN-4B_S16"
"627","ILK-A3-MIN-5","Pinkney-Ashnet-ILK-A3-MIN-5A_S39"
"629","ILK-A3-MIN-5","Pinkney-Ashnet-ILK-A3-MIN-5B_S40"
"631","ILK-A4-FH-4","Pinkney-Ashnet-ILK-A4-FH-4A_S19"
"633","ILK-A4-FH-4","Pinkney-Ashnet-ILK-A4-FH-4B_S20"
"635","ILK-A4-FH-5","Pinkney-Ashnet-ILK-A4-FH-5A_S43"
"637","ILK-A4-FH-5","Pinkney-Ashnet-ILK-A4-FH-5B_S44"
"639","ILK-A4-LM-4","Pinkney-Ashnet-ILK-A4-LM-4A_S17"
"641","ILK-A4-LM-4","Pinkney-Ashnet-ILK-A4-LM-4B_S18"
"643","ILK-A4-LM-5","Pinkney-Ashnet-ILK-A4-LM-5A_S41"
"645","ILK-A4-LM-5","Pinkney-Ashnet-ILK-A4-LM-5B_S42"
"647","ILK-A4-MIN-4","Pinkney-Ashnet-ILK-A4-MIN-4A_S21"
"649","ILK-A4-MIN-4","Pinkney-Ashnet-ILK-A4-MIN-4B_S22"
"651","ILK-A4-MIN-5","Pinkney-Ashnet-ILK-A4-MIN-5A_S45"
"653","ILK-A4-MIN-5","Pinkney-Ashnet-ILK-A4-MIN-5B_S46"
"655","ILK-C-FH-5","Pinkney-Ashnet-ILK-C-FH-5A_S25"
"657","ILK-C-FH-5","Pinkney-Ashnet-ILK-C-FH-5B_S26"
"659","ILK-C-LM-5","Pinkney-Ashnet-ILK-C-LM-5A_S23"
"661","ILK-C-LM-5","Pinkney-Ashnet-ILK-C-LM-5B_S24"
"663","ILK-C-MIN-5","Pinkney-Ashnet-ILK-C-MIN-5A_S27"
"665","ILK-C-MIN-5","Pinkney-Ashnet-ILK-C-MIN-5B_S28"
"667","PLD-A-LFH-2","Pinkney-Ashnet-PLD-A-LFH-2_S49"
"669","PLD-A-LFH-3","Pinkney-Ashnet-PLD-A-LFH-3_S53"
"671","PLD-A-LFH-4","Pinkney-Ashnet-PLD-A-LFH-4_S57"
"673","PLD-A-LFH-5","Pinkney-Ashnet-PLD-A-LFH-5_S47"
"675","PLD-A-MIN-2","Pinkney-Ashnet-PLD-A-MIN-2_S50"
"677","PLD-A-MIN-3","Pinkney-Ashnet-PLD-A-MIN-3_S54"
"679","PLD-A-MIN-4","Pinkney-Ashnet-PLD-A-MIN-4_S58"
"681","PLD-A-MIN-5","Pinkney-Ashnet-PLD-A-MIN-5_S48"
"683","PLD-C-LFH-3","Pinkney-Ashnet-PLD-C-LFH-3_S51"
"685","PLD-C-LFH-4","Pinkney-Ashnet-PLD-C-LFH-4_S55"
"687","PLD-C-LFH-5","Pinkney-Ashnet-PLD-C-LFH-5_S59"
"689","PLD-C-MIN-3","Pinkney-Ashnet-PLD-C-MIN-3_S52"
"691","PLD-C-MIN-4","Pinkney-Ashnet-PLD-C-MIN-4_S56"
"693","PLD-C-MIN-5","Pinkney-Ashnet-PLD-C-MIN-5_S60"
"695","ALN-A1-LFH-1","Pinkney-Ashnet-ALN-A1-LFH-1_S1"
"697","ALN-A1-LFH-2","Pinkney-Ashnet-ALN-A1-LFH-2_S2"
"699","ALN-A1-LFH-3","Pinkney-Ashnet-ALN-A1-LFH-3_S3"
"701","ALN-A1-MIN-1","Pinkney-Ashnet-ALN-A1-MIN-1_S4"
"703","ALN-A1-MIN-2","Pinkney-Ashnet-ALN-A1-MIN-2_S5"
"705","ALN-A1-MIN-3","Pinkney-Ashnet-ALN-A1-MIN-3_S6"
"707","ALN-A2-LFH-1","Pinkney-Ashnet-ALN-A2-LFH-1_S7"
"709","ALN-A2-LFH-2","Pinkney-Ashnet-ALN-A2-LFH-2_S8"
"711","ALN-A2-LFH-3","Pinkney-Ashnet-ALN-A2-LFH-3_S9"
"713","ALN-A2-MIN-1","Pinkney-Ashnet-ALN-A2-MIN-1_S10"
"715","ALN-A2-MIN-2","Pinkney-Ashnet-ALN-A2-MIN-2_S11"
"717","ALN-A2-MIN-3","Pinkney-Ashnet-ALN-A2-MIN-3_S12"
"719","ALN-C-LFH-1","Pinkney-Ashnet-ALN-C-LFH-1_S13"
"721","ALN-C-LFH-2","Pinkney-Ashnet-ALN-C-LFH-2_S14"
"723","ALN-C-LFH-3","Pinkney-Ashnet-ALN-C-LFH-3_S15"
"725","ALN-C-MIN-1","Pinkney-Ashnet-ALN-C-MIN-1_S16"
"727","ALN-C-MIN-2","Pinkney-Ashnet-ALN-C-MIN-2_S17"
"729","ALN-C-MIN-3","Pinkney-Ashnet-ALN-C-MIN-3_S18"
"731","ALS-A1-LFH-1","Pinkney-Ashnet-ALS-A1-LFH-1_S19"
"733","ALS-A1-LFH-2","Pinkney-Ashnet-ALS-A1-LFH-2_S20"
"735","ALS-A1-LFH-3","Pinkney-Ashnet-ALS-A1-LFH-3_S21"
"737","ALS-A1-MIN-1","Pinkney-Ashnet-ALS-A1-MIN-1_S22"
"739","ALS-A1-MIN-2","Pinkney-Ashnet-ALS-A1-MIN-2_S23"
"741","ALS-A1-MIN-3","Pinkney-Ashnet-ALS-A1-MIN-3_S24"
"743","ALS-A2-LFH-1","Pinkney-Ashnet-ALS-A2-LFH-1_S25"
"745","ALS-A2-LFH-2","Pinkney-Ashnet-ALS-A2-LFH-2_S26"
"747","ALS-A2-LFH-3","Pinkney-Ashnet-ALS-A2-LFH-3_S27"
"749","ALS-A2-MIN-1","Pinkney-Ashnet-ALS-A2-MIN-1_S28"
"751","ALS-A2-MIN-2","Pinkney-Ashnet-ALS-A2-MIN-2_S29"
"753","ALS-A2-MIN-3","Pinkney-Ashnet-ALS-A2-MIN-3_S30"
"755","ALS-C-LFH-1","Pinkney-Ashnet-ALS-C-LFH-1_S31"
"757","ALS-C-LFH-2","Pinkney-Ashnet-ALS-C-LFH-2_S32"
"759","ALS-C-LFH-3","Pinkney-Ashnet-ALS-C-LFH-3_S33"
"761","ALS-C-MIN-1","Pinkney-Ashnet-ALS-C-MIN-1_S34"
"763","ALS-C-MIN-2","Pinkney-Ashnet-ALS-C-MIN-2_S35"
"765","ALS-C-MIN-3","Pinkney-Ashnet-ALS-C-MIN-3_S36"
"767","ETM-A-FH-1","Pinkney-Ashnet-ETM-A-FH-1A_S37"
"769","ETM-A-FH-1","Pinkney-Ashnet-ETM-A-FH-1B_S38"
"771","ETM-A-LM-1","Pinkney-Ashnet-ETM-A-LM-1A_S39"
"773","ETM-A-LM-1","Pinkney-Ashnet-ETM-A-LM-1B_S40"
"775","ETM-A-MIN-1","Pinkney-Ashnet-ETM-A-MIN-1A_S41"
"777","ETM-A-MIN-1","Pinkney-Ashnet-ETM-A-MIN-1B_S42"
"779","ETM-C-FH-1","Pinkney-Ashnet-ETM-C-FH-1A_S43"
"781","ETM-C-FH-1","Pinkney-Ashnet-ETM-C-FH-1B_S44"
"783","ETM-C-FH-2","Pinkney-Ashnet-ETM-C-FH-2A_S45"
"785","ETM-C-FH-2","Pinkney-Ashnet-ETM-C-FH-2B_S46"
"787","ETM-C-LM-1","Pinkney-Ashnet-ETM-C-LM-1A_S47"
"789","ETM-C-LM-1","Pinkney-Ashnet-ETM-C-LM-1B_S48"
"791","ETM-C-LM-2","Pinkney-Ashnet-ETM-C-LM-2A_S49"
"793","ETM-C-LM-2","Pinkney-Ashnet-ETM-C-LM-2B_S50"
"795","ETM-C-MIN-1","Pinkney-Ashnet-ETM-C-MIN-1A_S51"
"797","ETM-C-MIN-1","Pinkney-Ashnet-ETM-C-MIN-1B_S52"
"799","ETM-C-MIN-2","Pinkney-Ashnet-ETM-C-MIN-2A_S53"
"801","ETM-C-MIN-2","Pinkney-Ashnet-ETM-C-MIN-2B_S54"
"803","MSK-A1-LFH-1","Pinkney-Ashnet-MSK-A1-LFH-1_S55"
"805","MSK-A1-LFH-2","Pinkney-Ashnet-MSK-A1-LFH-2_S56"
"807","MSK-A1-LFH-3","Pinkney-Ashnet-MSK-A1-LFH-3_S57"
"809","MSK-A1-MIN-1","Pinkney-Ashnet-MSK-A1-MIN-1_S58"
"811","MSK-A1-MIN-2","Pinkney-Ashnet-MSK-A1-MIN-2_S59"
"813","MSK-A1-MIN-3","Pinkney-Ashnet-MSK-A1-MIN-3_S60"
"815","MSK-A2-LFH-1","Pinkney-Ashnet-MSK-A2-LFH-1_S61"
"817","MSK-A2-LFH-2","Pinkney-Ashnet-MSK-A2-LFH-2_S62"
"819","MSK-A2-LFH-3","Pinkney-Ashnet-MSK-A2-LFH-3_S63"
"821","MSK-A2-MIN-1","Pinkney-Ashnet-MSK-A2-MIN-1_S64"
"823","MSK-A2-MIN-2","Pinkney-Ashnet-MSK-A2-MIN-2_S65"
"825","MSK-A2-MIN-3","Pinkney-Ashnet-MSK-A2-MIN-3_S66"
"827","MSK-C-LFH-1","Pinkney-Ashnet-MSK-C-LFH-1_S67"
"829","MSK-C-LFH-2","Pinkney-Ashnet-MSK-C-LFH-2_S68"
"831","MSK-C-LFH-3","Pinkney-Ashnet-MSK-C-LFH-3_S69"
"833","MSK-C-MIN-1","Pinkney-Ashnet-MSK-C-MIN-1_S70"
"835","MSK-C-MIN-2","Pinkney-Ashnet-MSK-C-MIN-2_S71"
"837","MSK-C-MIN-3","Pinkney-Ashnet-MSK-C-MIN-3_S72"
"839","ETM-A-FH-4","Pinkney-Ashnet-ETM-A-FH-4A_S4"
"841","ETM-A-FH-4","Pinkney-Ashnet-ETM-A-FH-4B_S7"
"843","ETM-A-FH-5","Pinkney-Ashnet-ETM-A-FH-5A_S16"
"845","ETM-A-FH-5","Pinkney-Ashnet-ETM-A-FH-5B_S19"
"847","ETM-A-LM-4","Pinkney-Ashnet-ETM-A-LM-4A_S3"
"849","ETM-A-LM-4","Pinkney-Ashnet-ETM-A-LM-4B_S6"
"851","ETM-A-LM-5","Pinkney-Ashnet-ETM-A-LM-5A_S15"
"853","ETM-A-LM-5","Pinkney-Ashnet-ETM-A-LM-5B_S18"
"855","ETM-A-MIN-4","Pinkney-Ashnet-ETM-A-MIN-4A_S5"
"857","ETM-A-MIN-4","Pinkney-Ashnet-ETM-A-MIN-4B_S8"
"859","ETM-A-MIN-5","Pinkney-Ashnet-ETM-A-MIN-5A_S17"
"861","ETM-A-MIN-5","Pinkney-Ashnet-ETM-A-MIN-5B_S20"
"863","ETM-C-FH-4","Pinkney-Ashnet-ETM-C-FH-4B_S1"
"865","ETM-C-FH-5","Pinkney-Ashnet-ETM-C-FH-5A_S10"
"867","ETM-C-FH-5","Pinkney-Ashnet-ETM-C-FH-5B_S13"
"869","ETM-C-LM-5","Pinkney-Ashnet-ETM-C-LM-5A_S9"
"871","ETM-C-LM-5","Pinkney-Ashnet-ETM-C-LM-5B_S12"
"873","ETM-C-MIN-4","Pinkney-Ashnet-ETM-C-MIN-4B_S2"
"875","ETM-C-MIN-5","Pinkney-Ashnet-ETM-C-MIN-5A_S11"
"877","ETM-C-MIN-5","Pinkney-Ashnet-ETM-C-MIN-5B_S14"
