"","sample_name","library_id"
"1021","HLB-A2-LM-4","Pinkey-Ashnet-HLB-A2-LM-4B_S66"
"1023","HLB-A2-MIN-3","Pinkey-Ashnet-HLB-A2-MIN-3A_S27"
"1025","HLB-A2-MIN-3","Pinkey-Ashnet-HLB-A2-MIN-3B_S28"
"1027","HLB-A2-MIN-4","Pinkey-Ashnet-HLB-A2-MIN-4A_S69"
"1029","HLB-A2-MIN-4","Pinkey-Ashnet-HLB-A2-MIN-4B_S70"
"1031","HLB-A3-FH-3","Pinkey-Ashnet-HLB-A3-FH-3A_S31"
"1033","HLB-A3-FH-3","Pinkey-Ashnet-HLB-A3-FH-3B_S32"
"1035","HLB-A3-LM-3","Pinkey-Ashnet-HLB-A3-LM-3A_S29"
"1037","HLB-A3-LM-3","Pinkey-Ashnet-HLB-A3-LM-3B_S30"
"1039","HLB-A3-LM-4","Pinkey-Ashnet-HLB-A3-LM-4A_S71"
"1041","HLB-A3-LM-4","Pinkey-Ashnet-HLB-A3-LM-4B_S72"
"1043","HLB-A3-MIN-3","Pinkey-Ashnet-HLB-A3-MIN-3A_S33"
"1045","HLB-A3-MIN-3","Pinkey-Ashnet-HLB-A3-MIN-3B_S34"
"1047","HLB-A4-FH-3","Pinkey-Ashnet-HLB-A4-FH-3A_S37"
"1049","HLB-A4-FH-3","Pinkey-Ashnet-HLB-A4-FH-3B_S38"
"1051","HLB-A4-LM-3","Pinkey-Ashnet-HLB-A4-LM-3A_S35"
"1053","HLB-A4-LM-3","Pinkey-Ashnet-HLB-A4-LM-3B_S36"
"1055","HLB-A4-MIN-3","Pinkey-Ashnet-HLB-A4-MIN-3A_S39"
"1057","HLB-A4-MIN-3","Pinkey-Ashnet-HLB-A4-MIN-3B_S40"
"1059","HLB-A5-FH-2","Pinkey-Ashnet-HLB-A5-FH-2A_S1"
"1061","HLB-A5-FH-2","Pinkey-Ashnet-HLB-A5-FH-2B_S2"
"1063","HLB-A5-FH-3","Pinkey-Ashnet-HLB-A5-FH-3A_S43"
"1065","HLB-A5-FH-3","Pinkey-Ashnet-HLB-A5-FH-3B_S44"
"1067","HLB-A5-LM-3","Pinkey-Ashnet-HLB-A5-LM-3A_S41"
"1069","HLB-A5-LM-3","Pinkey-Ashnet-HLB-A5-LM-3B_S42"
"1071","HLB-A5-MIN-2","Pinkey-Ashnet-HLB-A5-MIN-2A_S3"
"1073","HLB-A5-MIN-2","Pinkey-Ashnet-HLB-A5-MIN-2B_S4"
"1075","HLB-A5-MIN-3","Pinkey-Ashnet-HLB-A5-MIN-3A_S45"
"1077","HLB-A5-MIN-3","Pinkey-Ashnet-HLB-A5-MIN-3B_S46"
"1079","HLB-A6-FH-2","Pinkey-Ashnet-HLB-A6-FH-2A_S7"
"1081","HLB-A6-FH-2","Pinkey-Ashnet-HLB-A6-FH-2B_S8"
"1083","HLB-A6-FH-3","Pinkey-Ashnet-HLB-A6-FH-3A_S49"
"1085","HLB-A6-FH-3","Pinkey-Ashnet-HLB-A6-FH-3B_S50"
"1087","HLB-A6-LM-2","Pinkey-Ashnet-HLB-A6-LM-2A_S5"
"1089","HLB-A6-LM-2","Pinkey-Ashnet-HLB-A6-LM-2B_S6"
"1091","HLB-A6-LM-3","Pinkey-Ashnet-HLB-A6-LM-3A_S47"
"1093","HLB-A6-LM-3","Pinkey-Ashnet-HLB-A6-LM-3B_S48"
"1095","HLB-A6-MIN-2","Pinkey-Ashnet-HLB-A6-MIN-2A_S9"
"1097","HLB-A6-MIN-2","Pinkey-Ashnet-HLB-A6-MIN-2B_S10"
"1099","HLB-A6-MIN-3","Pinkey-Ashnet-HLB-A6-MIN-3A_S51"
"1101","HLB-A6-MIN-3","Pinkey-Ashnet-HLB-A6-MIN-3B_S52"
"1103","HLB-C-FH-3","Pinkey-Ashnet-HLB-C-FH-3A_S13"
"1105","HLB-C-FH-3","Pinkey-Ashnet-HLB-C-FH-3B_S14"
"1107","HLB-C-FH-4","Pinkey-Ashnet-HLB-C-FH-4A_S55"
"1109","HLB-C-FH-4","Pinkey-Ashnet-HLB-C-FH-4B_S56"
"1111","HLB-C-LM-3","Pinkey-Ashnet-HLB-C-LM-3A_S11"
"1113","HLB-C-LM-3","Pinkey-Ashnet-HLB-C-LM-3B_S12"
"1115","HLB-C-LM-4","Pinkey-Ashnet-HLB-C-LM-4A_S53"
"1117","HLB-C-LM-4","Pinkey-Ashnet-HLB-C-LM-4B_S54"
"1119","HLB-C-MIN-3","Pinkey-Ashnet-HLB-C-MIN-3A_S15"
"1121","HLB-C-MIN-3","Pinkey-Ashnet-HLB-C-MIN-3B_S16"
"1123","HLB-C-MIN-4","Pinkey-Ashnet-HLB-C-MIN-4A_S57"
"1125","HLB-C-MIN-4","Pinkey-Ashnet-HLB-C-MIN-4B_S58"
"1127","ETM-A-FH-2","Pinkney-Ashnet-ETM-A-FH-2A_S2"
"1129","ETM-A-FH-2","Pinkney-Ashnet-ETM-A-FH-2B_S5"
"1131","ETM-A-FH-3","Pinkney-Ashnet-ETM-A-FH-3A_S14"
"1133","ETM-A-FH-3","Pinkney-Ashnet-ETM-A-FH-3B_S17"
